Ceramista,Tramo,Estructura,Arqueólogo,ID de excavación,Cuadro N,Cuadro E,Capa,Bolsa,Periodo,Grupo,Tipo,Variedad,Forma,Cantidad de tiestos,Cantidad de bolsas,Observaciones,Pk,Pozo,Control de cambios,Laboratorio,,,Periodo,Grupo,Tipo,Variedad,Cantidad de tiestos ,,,Periodo,Cantidad de tiestos ,,,,,,,,,
Sara D.,3,00005,004,0000152,2268644,183848,II,,Clasico Temprano,Maxcanu,Maxcanu bayo,Temprano,Cajete,2,0,,5011,,,Terraceria 1. Ni principal ni superior,,,Clasico Temprano,Batres,Batres rojo,Batres,1,,,Clasico Temprano,528,,,,,,,,,
Sara D.,3,00005,004,0000152,2268644,183848,II,,,,Erosionados,,,1,1,,5011,,,Terraceria 1. Ni principal ni superior,,,Clasico Temprano,Hunabchen,Hunabchen rojo,Hunabchen,18,,,Erosionados,13,,,,,,,,,
Sara D.,3,00005,004,0000162,2268644,183840,I,,,,No identificados,,,1,1,,5011,,,Terraceria 1. Ni principal ni superior,,,Clasico Temprano,Maxcanu,Maxcanu bayo,Temprano,6,,,No identificados,1,,,,,,,,,
Sara D.,3,00005,004,0000167,2268646,183844,I,,Clasico Temprano,Batres,Batres rojo,Batres,Olla,1,0,,5011,,,Terraceria 1. Ni principal ni superior,,,Clasico Temprano,Oxil,Elote estriado impreso,Elote,485,,,,542,,,,,,,,,
Sara D.,3,00005,004,0000167,2268646,183844,I,,Clasico Temprano,Maxcanu,Maxcanu bayo,Temprano,Olla,1,0,,5011,,,Terraceria 1. Ni principal ni superior,,,Clasico Temprano,Timucuy,Timucuy anaranjado policromo,Timucuy,17,,,,,,,,,,,,,
Sara D.,3,00005,004,0000167,2268646,183844,I,,Clasico Temprano,Oxil,Elote estriado impreso,Elote,Olla,464,0,,5011,,,Terraceria 1. Ni principal ni superior,,,Clasico Temprano,,Policromo no identificado del periodo clasico temprano,,1,,,,,,,,,,,,,
Sara D.,3,00005,004,0000167,2268646,183844,I,,Clasico Temprano,Timucuy,Timucuy anaranjado policromo,Timucuy,Cajete,14,0,,5011,,,Terraceria 1. Ni principal ni superior,,,,,Erosionados,,13,,,,,,,,,,,,,
Sara D.,3,00005,004,0000167,2268646,183844,I,,,,Erosionados,,,1,1,,5011,,,Terraceria 1. Ni principal ni superior,,,,,No identificados,,1,,,,,,,,,,,,,
Sara D.,3,00005,004,0000172,2268644,183844,II,,Clasico Temprano,Hunabchen,Hunabchen rojo,Hunabchen,Cajete,5,1,,5011,,,Terraceria 1. Ni principal ni superior,,,,,,,542,,,,,,,,,,,,,
Sara D.,3,00005,004,0000178,2268644,183844,I,,Clasico Temprano,Hunabchen,Hunabchen rojo,Hunabchen,Cajete,6,0,,5011,,,Terraceria 1. Ni principal ni superior,,,,,,,,,,,,,,,,,,,,
Sara D.,3,00005,004,0000178,2268644,183844,I,,Clasico Temprano,Oxil,Elote estriado impreso,Elote, Olla,3,1,,5011,,,Terraceria 1. Ni principal ni superior,,,,,,,,,,,,,,,,,,,,
Sara D.,3,00005,004,0000256,2268644,183844,V,,Clasico Temprano,Hunabchen,Hunabchen rojo,Hunabchen,Cajete,7,0,,5011,,,Terraceria 1. Ni principal ni superior,,,,,,,,,,,,,,,,,,,,
Sara D.,3,00005,004,0000256,2268644,183844,V,,Clasico Temprano,Oxil,Elote estriado impreso,Elote,Olla,18,0,,5011,,,Terraceria 1. Ni principal ni superior,,,,,,,,,,,,,,,,,,,,
Sara D.,3,00005,004,0000256,2268644,183844,V,,Clasico Temprano,Timucuy,Timucuy anaranjado policromo,Timucuy,Cajete,3,0,,5011,,,Terraceria 1. Ni principal ni superior,,,,,,,,,,,,,,,,,,,,
Sara D.,3,00005,004,0000256,2268644,183844,V,,Clasico Temprano,,Policromos no identificados del periodo clasico temprano,,Cuenco,1,0,,5011,,Tipo corregido por Ricardo Mateo 20/06/2022,Terraceria 1. Ni principal ni superior,,,,,,,,,,,,,,,,,,,,
Sara D.,3,00005,004,0000256,2268644,183844,V,,,,Erosionados,,,9,1,,5011,,,Terraceria 1. Ni principal ni superior,,,,,,,,,,,,,,,,,,,,
Sara D.,3,00005,004,0000265,2268644,183846,I,,Clasico Temprano,Maxcanu,Maxcanu bayo,Temprano,Cajete,2,0,,5011,,,Terraceria 1. Ni principal ni superior,,,,,,,,,,,,,,,,,,,,
Sara D.,3,00005,004,0000265,2268644,183846,I,,Clasico Temprano,Maxcanu,Maxcanu bayo,Temprano,Olla,1,0,,5011,,,Terraceria 1. Ni principal ni superior,,,,,,,,,,,,,,,,,,,,
Sara D.,3,00005,004,0000265,2268644,183846,I,,,,Erosionados,,,2,1,,5011,,,Terraceria 1. Ni principal ni superior,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,542,7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
