tramo,id_monumento,clave_de_excavacion,analizador,fecha_analisis,materia_prima_mon,tecnologia_mon,industria_mon,tipo_tecnologico_mon,c_bolsas_mon,lascas_mon
"2",T2_04005,T2_04005_204_000,Victor Oseguera,2022/06/30,Sílex y obsidiana,Tallada,Percusión casual y navajas prismáticas,"Lasca de descortezamiento parcial,navaja prismática y lasca casual","4","4"
"2",T2_04035,T2_04035_221_0003892,Victor Oseguera,2022/06/30,Obsidiana y sílex,Tallada,Navajas prismáticas y percusión casual,Navaja prismática y lasca casual,"4","4"
"2",T2_07033,T2_07033_219_0002590,Victor Oseguera,2022/07/01,"Sílex,obsidiana,caliza,lutita,toba volcánica y no identificada","Tallada,no identificada y pulida","Percusión casual,unifaciales,bifaciales,no identificado,navajas,navajas prismáticas,utilitaria,molienda,esculturas y no identificado","Lasca casual,lasca de adelgazar,no identificado,raspador sobre nódulo,buril sobre navaja,bifacial,navaja prismática,lasca de preparación de plataforma de núcleo,lasca de descortezamiento parcial,lasca de reavivamiento de filo sobre hacha pulida,núcleo lascas multidireccional,núcleo casual,navaja,punta de proyectil,desprendimiento térmico,lasca de adelgazamiento y descortezamiento parcial,hacha pulida,navaja ,metate,mano de metate,núcleo lascas bidireccional,placa de desgaste,abrasión,tapa de colmena,no identificada y ecofacto","69","129"
"2",T2_04037,T2_04037_219_000,Victor Oseguera,2022/07/08,Sílex,Tallada,"Percusión casual,unifaciales,bifaciales y navajas","Lasca de descortezamiento parcial,lasca casual,lasca de adelgazar y navaja","6","7"
"2",T2_04049,T2_04049_204_0002922,Victor Oseguera,2022/07/09,Obsidiana,Tallada,Navajas prismáticas,Navaja prismática,"1","2"
"2",T2_04052,T2_04052_246_0002254,Victor Oseguera,2022/07/09,"Sílex,caliza,obsidiana y no_identificada",Tallada y pulida,"Unifaciales,bifaciales,percusión casual,no identificado,molienda,navajas prismáticas y utilitaria","Bifacial,lasca de descortezamiento parcial,lasca casual,desprendimiento térmico,no identificado,mano de metate,navaja prismática y pulidor","8","12"
"2",T2_04092,T2_04092_234_0000953,Victor Oseguera,2022/07/11,"Obsidiana,sílex,caliza y piedras verdes","Tallada,no identificada,herramientas y pulida","Navajas prismáticas,unifaciales,bifaciales,percusión casual,no identificado,navajas,percutor  y arquitectónica","Navaja prismática,bifacial,lasca casual,lasca de reavivamiento de filo sobre hacha pulida,desprendimiento térmico,no identificado,navaja,percutor natural,lasca de descortezamiento total,lasca de descortezamiento parcial,sillar y percutor reutilizado","6","31"
"2",T2_04093,T2_04093_234_0001126,Victor Oseguera,2022/07/13,Caliza y sílex,Tallada y no identificada,"Percusión casual,unifaciales,bifaciales y no identificado","Lasca de descortezamiento parcial,lasca casual,bifacial,lasca de adelgazar y no identificado","9","20"
"2",T2_04118,T2_04118_246_0001821,Victor Oseguera,2022/07/14,Sílex y caliza,Tallada,Percusión casual,Lasca casual y lasca de descortezamiento parcial,"3","7"
"2",T2_04134,T2_04134_248_0000435,Victor Oseguera,2022/07/14,"Sílex,no identificada y caliza",Tallada y no identificada,Percusión casual y no identificado,"Lasca de descortezamiento parcial,no identificado y desprendimiento térmico","8","9"
"2",T2_04213,T2_04213_224_0003639,Victor Oseguera,2022/07/14,Sílex,Tallada,"No identificado, unifaciales, bifaciales","No identificado,lasca de adelgazar y lasca de adelgazamiento y descortezamiento parcial","1","11"
"2",T2_04215,T2_04215_204_0000008,Victor Oseguera,2022/07/15,Sílex y calcedonita,Tallada,"Percusión casual,unifaciales,bifaciales y no identificado","Nucleo casual,lasca de descortezamiento parcial,lasca casual,lasca de adelgazamiento y descortezamiento parcial,desprendimiento térmico y lasca de adelgazar","5","25"
"2",T2_04240,T2_04240_256_0002604,Victor Oseguera,2022/07/15,Caliza y sílex,Tallada,"Unifaciales,bifaciales y percusión casual","Bifacial,lasca casual y lasca de adelgazar","1","4"
"2",T2_04297,T2_04297_234_0003636,Victor Oseguera,2022/07/15,"Obsidiana,caliza,sílex,no identificada y calcedonita","Tallada,pulida,no identificada y herramientas","Navajas prismáticas,molienda,no identificado,percusión casual,percutor , unifaciales, bifaciales","Navaja prismática,mano de metate,ecofacto,no identificado,lasca casual,núcleo casual,lasca de descortezamiento parcial,percutor natural,nódulo,núcleo de desprendimientos térmicos,desprendimiento térmico,lasca de adelgazamiento sobre hacha pulida,lasca de adelgazar y bifacial","42","65"
"2",T2_04298,T2_04298_204_0002931,Victor Oseguera,2022/07/19,Obsidiana y sílex,Tallada,Navajas prismáticas y percusión casual,"Navaja prismática,lasca de descortezamiento parcial y lasca casual","6","10"
"2",T2_07037,T2_07037_224_0001209,Vïctor Oseguera,2022/11/23,Sílex y caliza,Tallada y no identificada,"Percusión casual,no identificada,unifaciales,bifaciales,ecofacto y no identificado","Lasca casual,fragmento,lasca de adelgazar,ecofacto y raedera sobre lasca","8","20"
"2",T2_07038,T2_07038_219_0003219,Vïctor Oseguera,2022/11/25,"Sílex,obsidiana y caliza",Tallada y pulida,"No identificada,percusión casual,unifaciales,bifaciales,navajas prismáticas y navajas ","Fragmento,lasca casual,lasca de adelgazar,raedera sobre lasca,bifacial,navaja prismática,raspador sobre lasca,navaja de descortezamiento parcial,lasca de descortezamiento parcial,navaja ,desprendimiento térmico,no identificado y navaja cresta","17","77"
"2",T2_07074,T2_07074_222_0003258,Vïctor Oseguera,2022/11/29,Sílex,Tallada y no identificada,"Unifaciales,bifaciales,no identificada y percusión casual","Lasca de reavivamiento de filo sobre hacha pulida,fragmento,lasca de descortezamiento parcial y lasca de adelgazamiento y descortezamiento parcial","4","5"
"2",T2_07094,T2_07094_222_0003537,Vïctor Oseguera,2022/11/29,Sílex y caliza,"Tallada,pulida y no identificada","Unifaciales,bifaciales,percusión casual y no identificada","Lasca de adelgazar,lasca casual,no identificado,desprendimiento térmico,raedera sobre lasca casual de descortezamiento parcial y lasca de descortezamiento parcial","11","14"
"2",T2_07221,T2_07221_248_0000593,Vïctor Oseguera,2022/11/29,Sílex,Tallada,Unifaciales y bifaciales,"Lasca de reavivamiento de filo sobre hacha tallada,lasca de adelgazar y lasca de adelgazamiento y descortezamiento parcial","5","5"
"2",T2_07224,T2_07224_223_0003792,Vïctor Oseguera,2022/11/29,"Sílex,caliza y obsidiana","Tallada,no identificada y pulida","Percusión casual,unifaciales,bifaciales,no identificada,utilitaria,percusión bipolar,navajas prismáticas,no identificado y molienda","Lasca casual,bifacial,desprendimiento térmico,mano de metate,lasca de adelgazar,lasca bipolar,raedera sobre lasca,navaja prismática,fragmento,lasca de descortezamiento parcial y lasca de reavivamiento de filo sobre hacha tallada","18","31"
"2",T2_10010,T2_10010_223_0003695,Vïctor Oseguera,2022/12/01,Sílex,Tallada,Percusión casual,Raedera sobre lasca,"1","1"
"2",T2_10013,T2_10013_246_0001473,Vïctor Oseguera,2022/12/01,Caliza,Pulida,Molienda,Mano de metate,"1","1"
"2",T2_10014,T2_10014_248_0000893,Vïctor Oseguera,2022/12/01,Caliza,Pulida,Molienda,Brazo de moler,"1","1"
"2",T2_16009,T2_16009_248_0001192,Vïctor Oseguera,2022/12/01,Sílex,Tallada,"Unifaciales,bifaciales,no identificada y percusión casual","Lasca de adelgazamiento y descortezamiento parcial,fragmento,lasca de descortezamiento parcial y lasca casual","3","5"
"2",T2_16019,T2_16019_222_0003377,Vïctor Oseguera,2022/12/01,Caliza,Pulida,Escultura,No identificada,"1","1"
"2",T2_07076,T2_07076_224_0002784,Vïctor Oseguera,2022/12/02,Sílex y caliza,Tallada y no identificada,"Percusión casual,unifaciales,bifaciales y no identificado","Lasca casual,lasca de adelgazar y ecofacto","3","3"
"2",T2_07083,T2_07083_234_0001342,Vïctor Oseguera,2022/12/02,"Sílex,caliza y piedra verde","Tallada,no identificada,no identificada y pulida","No identificada,percusión casual,unifaciales,bifaciales,navajas,percusión bipolar,no identificado y molienda","No identificado,desprendimiento térmico,lasca de descortezamiento parcial,lasca,lasca de adelgazar,lasca casual sobre hacha tallada,lasca casual,navaja,fragmento,lasca casual sobre bifacial,lasca bipolar,lasca de reavivamiento de filo sobre hacha tallada,lasca de adelgazamiento y descortezamiento parcial,navaja de descortezamiento parcial,lasca de reavivamiento de filo sobre hacha pulida,raedera sobre lasca casual de descortezamiento parcial,lasca sobre artefacto pulido no identificado,lasca casual unidireccional y descortezamiento parcial,bifacial,lasca casual unidireccional,ecofacto,raedera sobre lasca y mano de metate","25","105"
"2",T2_07096,T2_07096_234_0001088,Vïctor Oseguera,2022/12/06,Sílex,Tallada,"No identificada,navajas y percusión casual","Fragmento,navaja de descortezamiento parcial y lasca de descortezamiento parcial","2","3"
"2",T2_07101,T2_07101_234_0000746,Vïctor Oseguera,2022/12/06,"Sílex,calcita,no_identificada,caliza y obsidiana",Tallada y no identificada,"Unifaciales,bifaciales,no identificada,percusión casual,no identificado y navajas prismáticas","Lasca de adelgazar,fragmento,lasca de descortezamiento parcial,lasca casual,raedera sobre lasca,lasca de adelgazamiento y descortezamiento parcial,lasca casual unidireccional,no identificada,lasca casual unidireccional y descortezamiento parcial,desprendimiento térmico,raedera sobre lasca casual de descortezamiento parcial,no identificado,lasca de fragmentación de cincel,núcleo casual y navaja prismática","7","63"
"2",T2_10000,T2_10000_223_0002329,Vïctor Oseguera,2022/12/07,Sílex,Tallada y no identificada,"Unifaciales,bifaciales,no identificado y percusión casual","Bifacial,fragmento y lasca de descortezamiento parcial","1","3"
"2",T2_10001,T2_10001_221_0001735,Vïctor Oseguera,2022/12/07,"Sílex,caliza y cuarcita","Tallada,no identificada,herramientas y pulida","Unifaciales,bifaciales,percusión casual,percusión bipolar,no identificado,no identificada,percutor,navajas y molienda","Lasca de adelgazar,lasca casual,lasca de descortezamiento parcial,raedera sobre lasca,núcleo bipolar,buril sobre lasca casual ,fragmento,ecofacto,no identificado,lasca casual sobre bifacial,desprendimiento térmico,percutor natural,raspador unifacial sobre nódulo,raedera sobre lasca casual de núcleo bifacial,lasca de fragmentación de cincel,lasca de reavivamiento de filo sobre hacha pulida,buril distal sobre lasca de adelgazamiento,lascas de presión,navaja de descortezamiento parcial,mano de metate,lasca bipolar,navaja,lasca de reavivamiento de filo sobre hacha tallada y lasca de adelgazamiento y descortezamiento parcial","36","64"
"2",T2_10005,T2_10005_234_0000549,Vïctor Oseguera,2022/12/12,"Sílex,caliza y obsidiana",Tallada y no identificada,"Percusión casual,unifaciales,bifaciales,no identificada,no identificado y navajas prismáticas","Raedera sobre lasca,bifacial,no identificado,lasca casual unidireccional,desprendimiento térmico,lasca de descortezamiento parcial y navaja prismática","6","9"
