tramo,id_monumento,clave_de_excavacion,num_bolsa,codigo_exc,correccion_cod,ubicacion,intervencion,materia_prima,color_fuente,tecnologia,industria,tipo_tecnologico,atributo_1,atributo_2,atributo_3,porcentaje_corteza,seccion_pieza,dimension_rango,cantidad,porcentaje_pieza,largo,ancho,grosor,observaciones_adicionales,dibujo,foto_1,foto_2,analizador,fecha_analisis,registro_surp
"2",T2_04005,T2_04005_204_000,,LITI,LÍTICA EN CERÁMICA,Segmento,IA 52. Estación Vista Alegre,Sílex,Very Pale Brown,Tallada,Navajas,Navaja ,"-","-","-","-","-","-","1",> 70%,5.8,1.8,2.4,Lámina/Navaja de percusión de pedernal. Presenta una extracción al centro de su cara dorsal y corteza rugoza/rojiza en los margenes laterales. Su talón es de una sola faceta y no presenta preparaciones adicionales.,No,No Aplica,No Aplica,Victor Oseguera,2022/06/30,No
"2",T2_04005,T2_04005_204_000,,LITI,LÍTICA EN CERÁMICA,Segmento,IA 52. Estación Vista Alegre,Sílex,Light Brownish Gray,Tallada,Percusión casual,Lasca de orientación distal,"-","-","-","-","-","-","1",> 70%,3.8,2.8,3.2,Lasca de acondicionamiento de núcleo. Extracción probablemente orientada a retirar volúmen distal que desequilibraba a un núcleo de lascas unidirecciónal.,No,No Aplica,No Aplica,Victor Oseguera,2022/06/30,No
"2",T2_04005,T2_04005_204_0001237,"105",LITI,OLIT,Segmento,IA 52. Estación Vista Alegre,Sílex,"-",Tallada,Unifaciales y bifaciales,Perforador sobre lasca de adelgazamiento bifacial,"-","-","-","-","-","-","1",> 70%,3,0.7,2,"Perforador  distal, manufacturado sobre lasca de talla bifacial producida por percusión a un hacha pulimentada (por sus huellas de pulimento en el dorso del artefacto). Para producir el artefacto perforador, realizaron dos lasqueos en el filo de la lasca, en el lado derecho desde la cara dorsal a la ventral y al contrario en el filo izquierdo; esto generó una sección romboidal que refuerza al artefacto permitiendo durabilidad mientras se trabaja con él.",No,T2_04005_204_0001237_F1,No Aplica,Victor Oseguera,2022/06/30,No
"2",T2_04005,T2_04005_204_0001556,"207",LITI,SIN CAMBIO,Segmento,IA 52. Estación Vista Alegre,Sílex,Red,Tallada,Percusión casual,Lasca de descortezamiento parcial,"-","-","-","-","-","-","2",> 70%,4.7,0.8,2.3,"Lascas de percusión, pequeñas, ambas con talón de una sola faceta. Una de ellas presenta posible retoque por uso; la otra presenta puntos de posible corteza.Color munsell Rojo pálido.",No,No Aplica,No Aplica,Victor Oseguera,2022/06/30,No
"2",T2_04005,T2_04005_222_0002120,"149",LITI,OLIT,Segmento,IA 52. Estación Vista Alegre,Sílex,Yellow-Red,Tallada,Percusión casual,Raspador sobre lasca,"-","-","-","-","-","-","1",> 70%,4,1.4,4,Raspador distal sobre lasca de talón de una sola faceta. Posee lasqueos de reavivamiento de filo en la zona distal del artefacto. Su color es amarillo rojizo y tiene pequeños puntos rojos al parecer por la liberación de FeO de la roca.,No,T2_04005_222_0002120_F1,No Aplica,Victor Oseguera,2022/06/30,No
"2",T2_04005,T2_04005_222_0002169,"155",LITI,SIN CAMBIO,Segmento,IA 52. Estación Vista Alegre,Sílex,Very Pale Brown,Tallada,Percusión casual,Lasca casual,"-","-","-","-","-","-","1",> 70%,5.7,2,2,"Lasca grande de percusión. Cuenta con un talón diminuto en forma de punto. Esta lasca fue separada de la cara ventral de una lasca de mayor tamaño. No presenta huellas de haber sido utilizada. La cara dorsal presenta una alta nervadura dque divide en dos la pieza; el lado izquierdo es plano y el derecho es la cara ventral de la lasca de la que ésta se extrajo.",No,No Aplica,No Aplica,Victor Oseguera,2022/06/30,No
"2",T2_04005,T2_04005_222_0002254,"164",LITI,SIN CAMBIO,Segmento,IA 52. Estación Vista Alegre,Sílex,Pale Red,Tallada,Percusión casual,Lasca casual,"-","-","-","-","-","-","1",> 70%,3.1,0.9,2.6,"Lasca pequeña de percusión, con probable uso en sus filos (microlasqueos). Presenta un talón alabeado, bifacetado y con negativos de dorso en la misma dirección de extracción, asó como uno transversal en la parte distal del artefacto. Muy probablemente vino de un núcleo de lascas de varias plataformas.",No,No Aplica,No Aplica,Victor Oseguera,2022/06/30,No
"2",T2_04015,T2_04015_246_0001485,"138",LITI,SIN CAMBIO,Segmento,IA 52 (primera parte),Caliza,Beige,No identificada,No Identificado,Ecofacto,"-","-","-","-","-","-","2",> 70%,11,4.9,5.4,"Ecofactos de roca caliza con una morfología similar a la necesaria para producir cinceles. Son alargados, uno de sus extremos es aguzado en bisel y el opuesto es plano (como si se tratase de una plataforma para percutir (como en un cincel). Poseen corteza en toda su superficie y solo las zonas biseladas presentan una especie de desgaste que no supera el espesor de la corteza.",No,No Aplica,No Aplica,Victor Oseguera,2022/06/30,No
"2",T2_04035,T2_04035_224_0004302,"598",LITI,SIN CAMBIO,Segmento,IA 51,Sílex,Very Pale Brown,Tallada,Percusión casual,Lasca casual,"-","-","-","-","-","-","1",> 70%,4.4,1.2,7.6,"Lasca de percusión pequeña. Contiene un talón de 3 facetas con un poco de preparación por eliminación de corteza hacia el dorso. La cara dosal está cuebierta de negativos, los cercanos al talón son correspondientes con la dirección de la lasca y los distales parecen ser transversales a dicha dirección.",No,No Aplica,No Aplica,Victor Oseguera,2022/06/30,No
"2",T2_07033,T2_07033_222_0002751,"253",LITI,SIN CAMBIO,Segmento,IA 51 (La Pobreza),Sílex,#¡REF!,Tallada,Percusión casual,Lasca de descortezamiento total,"-","-","-","-","-","-","1",> 70%,3.9,3.2,4.4,"Lasca chica de descortezamiento inicial, de percusión directa y dura. Cuenta con corteza en todo su dorso, así como en una parte del vientre (debido a que se fracturó un nódulo de forma irregular. Su talón es liso, de una sola faceta y se observa en él cuan profunda es la corteza. su cono de percusión es muy pronunciado, revela una gran cantidad de fuerza durante la extracción.",No,No Aplica,No Aplica,Victor Oseguera,2022/07/01,No
"2",T2_07033,T2_07033_222_0002812,"287",LITI,SIN CAMBIO,Segmento,IA 51 (La Pobreza),Sílex,Light Gray,Tallada,Navajas,Navaja,"-","-","-","-","-","-","1",> 70%,5,1,2,"Navaja de sílex, fragmentada y con ausencia de talón (solo resta en la zona proximal parte del bulbo y el cono de percusión). Tiene unas pequeñas zonas de corteza en la parte proximal y distal, cuanta con una sola nervadura de negativos en su dorso; el del lado izquierdo es de dirección similar y el  del lado derecho es de dirección contraria.",No,No Aplica,No Aplica,Victor Oseguera,2022/07/01,No
